"filename", "language", "Makefile", "Markdown", "Rust", "YAML", "comment", "blank", "total"
"/home/vadim/konpac/README.md", "Markdown", 0, 19, 0, 0, 0, 2, 21
"/home/vadim/konpac/example/lmms/package.yml", "YAML", 0, 0, 0, 4, 0, 1, 5
"/home/vadim/konpac/example/package/package.yml", "YAML", 0, 0, 0, 1, 0, 1, 2
"/home/vadim/konpac/example/tmp/package/package.yml", "YAML", 0, 0, 0, 1, 0, 1, 2
"/home/vadim/konpac/example/xmnf/package.yml", "YAML", 0, 0, 0, 2, 0, 1, 3
"/home/vadim/konpac/makefile", "Makefile", 36, 0, 0, 0, 1, 7, 44
"/home/vadim/konpac/src/consts.rs", "Rust", 0, 0, 1, 0, 0, 0, 1
"/home/vadim/konpac/src/consts/paths.rs", "Rust", 0, 0, 3, 0, 0, 2, 5
"/home/vadim/konpac/src/main.rs", "Rust", 0, 0, 71, 0, 26, 7, 104
"/home/vadim/konpac/src/package.rs", "Rust", 0, 0, 6, 0, 0, 0, 6
"/home/vadim/konpac/src/package/build.rs", "Rust", 0, 0, 0, 0, 0, 1, 1
"/home/vadim/konpac/src/package/depencies.rs", "Rust", 0, 0, 29, 0, 5, 6, 40
"/home/vadim/konpac/src/package/install.rs", "Rust", 0, 0, 234, 0, 45, 44, 323
"/home/vadim/konpac/src/package/remove.rs", "Rust", 0, 0, 32, 0, 4, 9, 45
"/home/vadim/konpac/src/package/update.rs", "Rust", 0, 0, 0, 0, 0, 1, 1
"/home/vadim/konpac/src/package/utils.rs", "Rust", 0, 0, 114, 0, 14, 32, 160
"/home/vadim/konpac/src/repo.rs", "Rust", 0, 0, 2, 0, 0, 0, 2
"/home/vadim/konpac/src/repo/gen.rs", "Rust", 0, 0, 59, 0, 0, 9, 68
"/home/vadim/konpac/src/repo/utils.rs", "Rust", 0, 0, 167, 0, 19, 41, 227
"Total", "-", 36, 19, 718, 8, 114, 165, 1060
